artistmbid	tag
37a82661-4315-421a-8ca4-61e3705670f2	Nazi Shit - fuck off
37a82661-4315-421a-8ca4-61e3705670f2	brainless
37a82661-4315-421a-8ca4-61e3705670f2	cameroun
37a82661-4315-421a-8ca4-61e3705670f2	islamist
37a82661-4315-421a-8ca4-61e3705670f2	racism in music sucks
37a82661-4315-421a-8ca4-61e3705670f2	albophobic
37a82661-4315-421a-8ca4-61e3705670f2	hallal indigeste
37a82661-4315-421a-8ca4-61e3705670f2	les racistes dehors
37a82661-4315-421a-8ca4-61e3705670f2	epic troll
37a82661-4315-421a-8ca4-61e3705670f2	quenelle
37a82661-4315-421a-8ca4-61e3705670f2	un tag hors-sujet de plus bande de putain de sales putes
37a82661-4315-421a-8ca4-61e3705670f2	anti-sioniste
37a82661-4315-421a-8ca4-61e3705670f2	dieudo2017
